# Generated by get-clean-log.py ($Revision: 0.1$) on Tue February 20, 2007, at 09:48:14 PM 
# Authors: Alexandru Iosup and Mathieu Jan ({A.Iosup|M.Jan} at tudelft.nl)

# Format: JobID<TAB>StartTime<TAB>StopTime

6170	1095679846	1095679860
6171	1095679843	1095679861
6172	1095679845	1095679862
6173	1095679843	1095679857
6174	1095679843	1095679864
6175	1095679846	1095679859
6176	1095679854	1095679859
6177	1095679843	1095679874
6178	1095679846	1095679861
6179	1095679846	1095679864
6180	1095679846	1095679864
6181	1095679849	1095679859
6182	1095679849	1095679855
6183	1095679849	1095679861
6184	1095679849	1095679856
6185	1095679849	1095687147
6186	1095679849	1095679862
6187	1095679848	1095679873
6188	1095679848	1095679856
6189	1095679848	1095679862
6190	1095679800	-1
6191	1095679800	-1
6192	1095679848	1095679862
6193	1095679848	1095679865
6194	1095679848	1095679862
6195	1095679800	-1
6196	1095679800	-1
6197	1095679800	-1
6198	1095679800	-1
6199	1095679849	1095687146
6200	1095679849	1095679856
6201	1095679849	1095687147
6202	1095679849	1095679862
6203	1095679849	1095679867
6204	1095679849	1095679856
6205	1095679850	1095679860
6206	1095679849	1095679868
6207	1095679849	1095679868
6208	1095679849	1095679862
6209	1095679849	1095679859
6210	1095679849	1095679859
6211	1095679849	1095679862
6212	1095679850	1095679864
6213	1095679849	1095679865
6214	1095679850	1095679860
6215	1095679800	-1
6216	1095679800	-1
6217	1095679800	-1
6218	1095679800	-1
6219	1095679849	1095679862
7052	1096362017	1096380019
7137	1098162064	1098162162
99684	1099321779	1099321780
99685	1099321833	1099321834
99686	1099322221	1099322223
99687	1099322218	-1
99688	1099322220	-1
99689	1099322226	1099322228
99690	1099322228	1099322229
99691	1099322229	1099322231
99692	1099322227	-1
99693	1099322991	1099322994
99694	1099322989	-1
99695	1099322991	-1
99696	1099322997	1099322999
99697	1099322998	1099323000
99698	1099323000	1099323002
99699	1099322997	-1
99700	1099323221	1099323223
99701	1099323220	-1
99702	1099323221	-1
99703	1099323226	1099323228
99704	1099323227	1099323230
99705	1099323229	1099323231
99706	1099323227	-1
99707	1099324863	1099324865
99708	1099324860	-1
99709	1099324862	-1
99710	1099324868	1099324870
99711	1099324870	1099324871
99712	1099324871	1099324873
99713	1099324869	-1
99745	1099389884	1099389886
99746	1099389882	-1
99747	1099389884	-1
99748	1099389890	1099389892
99749	1099389891	1099389893
99750	1099389893	1099389895
99751	1099389894	1099389896
99752	1099389892	-1
99753	1099389893	-1
99754	1099389895	-1
99755	1099389896	-1
99756	1099389902	1099389903
99757	1099389903	1099389905
99758	1099389901	-1
99759	1099389903	-1
99760	1099389904	-1
99761	1099389910	1099389912
99762	1099389907	-1
99763	1099389913	1099389915
99764	1099389910	-1
99765	1099389912	-1
99766	1099389917	1099389919
99767	1099389919	1099389920
99768	1099389916	-1
99769	1099389918	-1
99770	1099389919	-1
99771	1099389921	-1
99772	1099389922	-1
99773	1099389924	-1
99774	1099389925	-1
99775	1099389926	-1
99776	1099389928	-1
99777	1099389929	-1
99778	1099389931	-1
99779	1099389937	1099389939
99780	1099389938	1099389940
99781	1099389940	1099389942
99782	1099389942	1099389944
99783	1099389939	-1
99784	1099389945	1099389947
99785	1099389942	-1
99786	1099389948	1099389950
99787	1099389949	1099389951
99788	1099389947	-1
99789	1099389952	1099389954
99790	1099389950	-1
99791	1099389955	1099389957
99792	1099389953	-1
99793	1099389954	-1
99794	1099389956	-1
99795	1099389957	-1
99796	1099389959	-1
99797	1099389964	1099389966
99798	1099389962	-1
99799	1099389963	-1
99800	1099389969	1099389971
99801	1099389970	1099389973
99802	1099389968	-1
99803	1099389970	-1
99804	1099389971	-1
99805	1099389973	-1
99806	1099389978	1099389980
99807	1099389976	-1
99808	1099389977	-1
99809	1099389982	1099389984
99810	1099389980	-1
99811	1099389985	1099389987
99812	1099389983	-1
99813	1099389984	-1
99814	1099389990	1099389992
99815	1099389987	-1
99816	1099389989	-1
99817	1099389990	-1
99818	1099389996	1099389998
99819	1099389994	-1
99820	1099389995	-1
99821	1099390000	1099390002
99822	1099389998	-1
99823	1099390003	1099390005
99824	1099390001	-1
99825	1099390002	-1
99826	1099390004	-1
99827	1099390009	1099390011
99828	1099390011	1099390012
99829	1099390008	-1
99830	1099390011	-1
99832	1099390951	1099390953
99833	1099390949	-1
99834	1099390950	-1
99835	1099390957	1099390958
99836	1099390958	1099390960
99837	1099390960	1099390961
99838	1099390957	-1
99839	1099390959	-1
99840	1099391083	1099391085
99841	1099391082	-1
99842	1099391144	1099391146
99843	1099391143	-1
99844	1099391201	1099391203
99845	1099391199	-1
99846	1099391255	1099391257
99847	1099391253	-1
99848	1099391328	1099391329
99849	1099391326	-1
99850	1099391624	1099391626
99851	1099391623	-1
99852	1099391641	1099391643
99853	1099391640	-1
99854	1099391725	1099391727
99855	1099391724	-1
99856	1099391742	1099391744
99857	1099391741	-1
99858	1099391972	1099391974
99859	1099391969	-1
99860	1099392016	1099392018
99861	1099392015	-1
99863	1099392147	1099392149
99864	1099392146	-1
99866	1099392160	1099392162
99867	1099392159	-1
99868	1099392169	1099392171
99869	1099392168	-1
99871	1099392293	1099392295
99872	1099392291	-1
99873	1099392293	-1
99874	1099392299	1099392301
99875	1099392344	1099392346
99876	1099392343	-1
99877	1099392344	-1
99878	1099392349	1099392351
99879	1099392382	1099392384
99880	1099392381	-1
99881	1099392383	-1
99882	1099392387	1099392389
99883	1099392428	1099392429
99884	1099392426	-1
99885	1099392428	-1
99886	1099392432	1099392434
99887	1099392589	1099392591
99888	1099392586	-1
99889	1099392588	-1
99890	1099392594	1099392596
99891	1099392619	1099392621
99892	1099392617	-1
99893	1099392619	-1
99894	1099392624	1099392625
99895	1099392649	1099392650
99896	1099392647	-1
99897	1099392649	-1
99898	1099392653	1099392655
99899	1099392667	1099392669
99900	1099392666	-1
99901	1099392667	-1
99902	1099392672	1099392674
99903	1099392701	1099392703
99904	1099392699	-1
99905	1099392701	-1
99906	1099392706	1099392707
99907	1099392865	1099392867
99908	1099392864	-1
99909	1099392866	-1
99910	1099392870	1099392872
99911	1099392888	1099392889
99912	1099392886	-1
99913	1099392888	-1
99914	1099392893	1099392894
99915	1099393223	1099393225
99916	1099393221	-1
99917	1099393222	-1
99918	1099393229	1099393230
99919	1099393230	1099393232
